Feature,Value
words per sent,13.1
LIX,32.03129770992366
# words,655
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5468354430379747
adjectives,0.96
nouns,1.86
verbs,2.04
pronouns,3.02
particles,2.48
punctuation marks,2.62
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.38
full verbs,1.56
split verbs,0.2
nominative,0.6
accusative,0.82
dative,0.68
genitive,0.06
gen modifiers,0.06
prep with gen,0.0
all genitives,0.06
accusative obj,0.7
dative obj,0.22
genitive obj,0.0
prepositional obj,0.16
acc+dat obj,0.92
gen+prep obj,0.16
present forms,0.56
past forms,0.76
perfect forms,0.06
pqp forms,0.02
perfect+pqp forms,0.04
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.02
ind speech,0.0
irrealis mode,0.0
all subj forms,0.12
imperatives,0.02
passive voice,0.0
passive with agens,0.0
comparative,0.02
superlative,0.0
comp+superlative,0.02
conjunctions,0.24
subjunctions,0.06
relative clauses,0.04
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.12
question words,0.12
question marks,0.1
subj/pred inversions,0.36
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,75.98
concessive,8.3
conditional,145.0
consecutive,5.86
final,12.86
interrogative,4.42
modal,37.7
other,191.72
temporal,147.32
A1 features,8
A1 features summed,0.96
A2 features,9
A2 features summed,228.08
B1 features,5
B1 features summed,165.94
level features (all),41
level features (all) summed,22.51999999999999
