Feature,Value
words per sent,13.8
LIX,29.16231884057971
# words,690
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.4404040404040404
adjectives,0.64
nouns,2.48
verbs,1.28
pronouns,1.96
particles,3.7
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.04
aux verbs,0.18
full verbs,0.94
split verbs,0.1
nominative,0.46
accusative,0.62
dative,0.36
genitive,0.16
gen modifiers,0.12
prep with gen,0.0
all genitives,0.12
accusative obj,0.42
dative obj,0.1
genitive obj,0.02
prepositional obj,0.08
acc+dat obj,0.52
gen+prep obj,0.1
present forms,0.46
past forms,0.22
perfect forms,0.04
pqp forms,0.02
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.06
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.06
passive voice,0.02
passive with agens,0.0
comparative,0.0
superlative,0.06
comp+superlative,0.06
conjunctions,0.08
subjunctions,0.02
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.06
question words,0.02
question marks,0.06
subj/pred inversions,0.24
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,79.76
concessive,8.6
conditional,151.2
consecutive,5.86
final,13.14
interrogative,4.68
modal,38.82
other,198.68
temporal,149.24
A1 features,8
A1 features summed,0.45999999999999996
A2 features,7
A2 features summed,237.34000000000003
B1 features,7
B1 features summed,168.52
level features (all),40
level features (all) summed,19.75999999999999
