Feature,Value
words per sent,13.46
LIX,20.29506686478455
# words,673
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.40601503759398494
adjectives,0.38
nouns,2.2
verbs,0.76
pronouns,0.96
particles,5.3
punctuation marks,3.82
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.02
aux verbs,0.12
full verbs,0.54
split verbs,0.04
nominative,0.24
accusative,0.34
dative,0.46
genitive,0.14
gen modifiers,0.06
prep with gen,0.04
all genitives,0.1
accusative obj,0.28
dative obj,0.26
genitive obj,0.0
prepositional obj,0.04
acc+dat obj,0.54
gen+prep obj,0.04
present forms,0.26
past forms,0.08
perfect forms,0.0
pqp forms,0.02
perfect+pqp forms,0.06
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.02
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.04
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.06
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.04
relative clauses,0.04
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.04
question marks,0.14
subj/pred inversions,0.12
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,78.18
concessive,8.44
conditional,148.6
consecutive,5.86
final,13.0
interrogative,4.56
modal,38.42
other,195.28
temporal,148.42
A1 features,5
A1 features summed,0.30000000000000004
A2 features,7
A2 features summed,233.08
B1 features,5
B1 features summed,167.31999999999996
level features (all),35
level features (all) summed,17.63999999999999
