Feature,Value
words per sent,19.16
LIX,33.56501043841336
# words,958
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.3988212180746562
adjectives,1.06
nouns,1.52
verbs,3.38
pronouns,4.92
particles,4.4
punctuation marks,3.84
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.32
aux verbs,0.7
full verbs,2.32
split verbs,0.16
nominative,0.32
accusative,1.28
dative,0.74
genitive,0.02
gen modifiers,0.02
prep with gen,0.0
all genitives,0.02
accusative obj,1.2
dative obj,0.28
genitive obj,0.0
prepositional obj,0.04
acc+dat obj,1.48
gen+prep obj,0.04
present forms,1.2
past forms,0.8
perfect forms,0.06
pqp forms,0.02
perfect+pqp forms,0.06
past aux forms,0.04
futur 1 forms,0.0
futur 2 forms,0.08
all futur forms,0.04
subj 1 forms,0.18
subj 2 forms,0.04
subj 2 aux forms,0.06
ind speech,0.02
irrealis mode,0.02
all subj forms,0.28
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.16
relative clauses,0.12
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.38
question words,0.12
question marks,0.06
subj/pred inversions,0.6
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,37.96
concessive,3.48
conditional,59.08
consecutive,0.02
final,5.54
interrogative,2.14
modal,18.1
other,93.06
temporal,73.76
A1 features,8
A1 features summed,1.3400000000000003
A2 features,8
A2 features summed,98.25999999999999
B1 features,5
B1 features summed,79.52000000000001
level features (all),43
level features (all) summed,32.61999999999999
