Feature,Value
words per sent,25.68
LIX,49.356012461059194
# words,1284
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5663129973474801
adjectives,2.12
nouns,5.74
verbs,3.14
pronouns,5.38
particles,5.82
punctuation marks,3.44
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.06
aux verbs,0.6
full verbs,2.48
split verbs,0.38
nominative,1.58
accusative,1.36
dative,1.68
genitive,0.9
gen modifiers,0.7
prep with gen,0.08
all genitives,0.78
accusative obj,0.92
dative obj,0.3
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,1.22
gen+prep obj,0.06
present forms,0.16
past forms,1.3
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.32
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.14
subj 2 forms,0.02
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.26
imperatives,0.04
passive voice,0.02
passive with agens,0.0
comparative,0.08
superlative,0.0
comp+superlative,0.08
conjunctions,0.34
subjunctions,0.04
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.16
question words,0.08
question marks,0.14
subj/pred inversions,0.92
placeholder 'es',0.06
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,32.52
concessive,3.0
conditional,52.54
consecutive,0.02
final,4.66
interrogative,1.82
modal,16.52
other,83.72
temporal,62.48
A1 features,7
A1 features summed,1.2000000000000002
A2 features,9
A2 features summed,87.62
B1 features,6
B1 features summed,67.63999999999999
level features (all),45
level features (all) summed,43.760000000000005
