Feature,Value
words per sent,20.46
LIX,46.461955034213105
# words,1023
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.6016528925619835
adjectives,2.06
nouns,3.38
verbs,3.0
pronouns,4.84
particles,4.16
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.68
full verbs,2.08
split verbs,0.1
nominative,0.76
accusative,1.4
dative,1.22
genitive,0.26
gen modifiers,0.26
prep with gen,0.0
all genitives,0.26
accusative obj,1.0
dative obj,0.36
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.36
gen+prep obj,0.1
present forms,0.3
past forms,0.8
perfect forms,0.1
pqp forms,0.2
perfect+pqp forms,0.32
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.08
subj 2 forms,0.02
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.14
imperatives,0.0
passive voice,0.02
passive with agens,0.0
comparative,0.08
superlative,0.1
comp+superlative,0.18
conjunctions,0.18
subjunctions,0.16
relative clauses,0.14
participial clauses pres,0.04
participial clauses past,0.06
all participial clauses,0.1
negations,0.18
question words,0.08
question marks,0.06
subj/pred inversions,0.52
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,36.1
concessive,3.32
conditional,56.92
consecutive,0.02
final,5.26
interrogative,2.06
modal,17.42
other,89.78
temporal,69.6
A1 features,7
A1 features summed,0.8
A2 features,9
A2 features summed,94.68000000000002
B1 features,6
B1 features summed,75.16
level features (all),45
level features (all) summed,34.580000000000005
