Feature,Value
words per sent,15.62
LIX,31.881203585147247
# words,781
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5275229357798165
adjectives,1.72
nouns,2.18
verbs,2.32
pronouns,3.84
particles,2.98
punctuation marks,2.58
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.16
aux verbs,0.64
full verbs,1.38
split verbs,0.16
nominative,0.68
accusative,0.94
dative,0.62
genitive,0.2
gen modifiers,0.18
prep with gen,0.0
all genitives,0.18
accusative obj,0.72
dative obj,0.18
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.9
gen+prep obj,0.06
present forms,0.68
past forms,0.8
perfect forms,0.02
pqp forms,0.02
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.04
all futur forms,0.0
subj 1 forms,0.04
subj 2 forms,0.0
subj 2 aux forms,0.04
ind speech,0.0
irrealis mode,0.0
all subj forms,0.08
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.14
superlative,0.0
comp+superlative,0.14
conjunctions,0.24
subjunctions,0.02
relative clauses,0.46
participial clauses pres,0.0
participial clauses past,0.02
all participial clauses,0.02
negations,0.22
question words,0.18
question marks,0.06
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,36.78
concessive,3.44
conditional,58.0
consecutive,0.02
final,5.36
interrogative,2.08
modal,17.88
other,91.74
temporal,71.88
A1 features,7
A1 features summed,1.04
A2 features,9
A2 features summed,96.20000000000002
B1 features,5
B1 features summed,77.88
level features (all),41
level features (all) summed,26.499999999999986
