Feature,Value
words per sent,11.5
LIX,23.67391304347826
# words,115
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6567164179104478
adjectives,0.8
nouns,1.5
verbs,1.6
pronouns,2.8
particles,2.5
punctuation marks,2.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.3
full verbs,1.3
split verbs,0.1
nominative,0.2
accusative,0.8
dative,0.9
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.8
dative obj,0.4
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,1.2
gen+prep obj,0.0
present forms,0.3
past forms,0.5
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.1
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.3
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,53.9
concessive,4.5
conditional,87.7
consecutive,0.0
final,8.7
interrogative,2.4
modal,29.9
other,131.6
temporal,107.6
A1 features,6
A1 features summed,0.9
A2 features,5
A2 features summed,142.6
B1 features,4
B1 features summed,114.7
level features (all),29
level features (all) summed,20.100000000000012
