Feature,Value
words per sent,10.6
LIX,17.20377358490566
# words,106
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5737704918032787
adjectives,0.7
nouns,0.7
verbs,1.8
pronouns,2.5
particles,2.6
punctuation marks,2.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.6
full verbs,1.1
split verbs,0.0
nominative,0.1
accusative,0.9
dative,0.3
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.7
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.3
past forms,0.7
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.2
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.5
subjunctions,0.1
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,51.5
concessive,4.3
conditional,82.6
consecutive,0.0
final,8.5
interrogative,2.4
modal,28.9
other,123.9
temporal,104.7
A1 features,3
A1 features summed,1.0
A2 features,5
A2 features summed,135.2
B1 features,3
B1 features summed,111.4
level features (all),24
level features (all) summed,18.300000000000004
