Feature,Value
words per sent,17.9
LIX,31.307821229050276
# words,179
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5932203389830508
adjectives,1.4
nouns,2.3
verbs,2.4
pronouns,3.8
particles,3.6
punctuation marks,4.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.3
full verbs,1.8
split verbs,0.2
nominative,0.4
accusative,1.6
dative,0.7
genitive,0.2
gen modifiers,0.1
prep with gen,0.1
all genitives,0.2
accusative obj,1.4
dative obj,0.1
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.5
gen+prep obj,0.2
present forms,1.2
past forms,0.8
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,1.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,50.8
concessive,4.0
conditional,80.8
consecutive,0.0
final,8.3
interrogative,2.4
modal,28.3
other,121.9
temporal,103.5
A1 features,5
A1 features summed,0.8999999999999999
A2 features,6
A2 features summed,132.79999999999998
B1 features,4
B1 features summed,110.30000000000001
level features (all),32
level features (all) summed,31.5
