Feature,Value
words per sent,38.3
LIX,60.49321148825065
# words,383
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6802030456852792
adjectives,2.2
nouns,7.5
verbs,6.0
pronouns,8.9
particles,9.8
punctuation marks,3.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,1.0
full verbs,4.6
split verbs,0.1
nominative,2.2
accusative,2.6
dative,2.0
genitive,0.7
gen modifiers,0.5
prep with gen,0.2
all genitives,0.7
accusative obj,1.6
dative obj,0.3
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.9
gen+prep obj,0.3
present forms,0.2
past forms,2.3
perfect forms,0.0
pqp forms,0.5
perfect+pqp forms,0.6
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.5
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,1.2
subjunctions,0.4
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.1
all participial clauses,0.2
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,1.2
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.1
'brauchen'+'lassen' constr,0.1
causal,61.1
concessive,5.4
conditional,97.8
consecutive,0.0
final,10.0
interrogative,2.5
modal,31.0
other,143.9
temporal,117.8
A1 features,5
A1 features summed,2.0
A2 features,6
A2 features summed,162.3
B1 features,4
B1 features summed,125.8
level features (all),41
level features (all) summed,65.60000000000001
