Feature,Value
words per sent,17.7
LIX,27.869491525423726
# words,177
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5729166666666666
adjectives,0.6
nouns,1.5
verbs,3.3
pronouns,3.2
particles,5.4
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.4
full verbs,2.3
split verbs,0.4
nominative,0.3
accusative,0.8
dative,0.4
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.7
dative obj,0.2
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.9
gen+prep obj,0.0
present forms,0.7
past forms,1.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.4
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.3
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.6
question words,0.1
question marks,0.1
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,96.4
concessive,9.7
conditional,199.3
consecutive,7.3
final,16.9
interrogative,5.0
modal,46.4
other,237.8
temporal,196.7
A1 features,7
A1 features summed,2.3000000000000003
A2 features,6
A2 features summed,304.40000000000003
B1 features,5
B1 features summed,218.79999999999998
level features (all),32
level features (all) summed,29.900000000000006
