Feature,Value
words per sent,9.1
LIX,12.396703296703297
# words,91
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6623376623376623
adjectives,0.3
nouns,1.5
verbs,0.4
pronouns,0.7
particles,3.3
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.0
full verbs,0.4
split verbs,0.0
nominative,0.2
accusative,0.2
dative,0.0
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.2
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.2
gen+prep obj,0.0
present forms,0.0
past forms,0.3
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.2
subj/pred inversions,0.0
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,97.5
concessive,9.9
conditional,200.6
consecutive,7.3
final,16.9
interrogative,5.0
modal,46.8
other,239.5
temporal,199.3
A1 features,3
A1 features summed,0.4
A2 features,4
A2 features summed,305.7
B1 features,4
B1 features summed,221.5
level features (all),15
level features (all) summed,10.999999999999996
