Feature,Value
words per sent,29.8
LIX,51.94765100671141
# words,298
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6348314606741573
adjectives,2.1
nouns,4.6
verbs,4.3
pronouns,5.7
particles,7.4
punctuation marks,5.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,1.2
full verbs,2.7
split verbs,0.2
nominative,1.3
accusative,1.7
dative,1.2
genitive,0.6
gen modifiers,0.5
prep with gen,0.0
all genitives,0.5
accusative obj,1.5
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.8
gen+prep obj,0.1
present forms,1.3
past forms,0.8
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.2
passive with agens,0.0
comparative,0.1
superlative,0.1
comp+superlative,0.2
conjunctions,0.5
subjunctions,0.5
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,95.5
concessive,9.7
conditional,197.0
consecutive,7.3
final,16.9
interrogative,4.9
modal,46.0
other,236.8
temporal,194.6
A1 features,5
A1 features summed,1.4000000000000001
A2 features,8
A2 features summed,301.6
B1 features,6
B1 features summed,217.29999999999998
level features (all),36
level features (all) summed,49.80000000000002
