Feature,Value
words per sent,30.0
LIX,48.0
# words,300
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6875
adjectives,2.0
nouns,5.3
verbs,4.3
pronouns,6.5
particles,7.9
punctuation marks,4.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,1.2
full verbs,3.0
split verbs,0.2
nominative,1.5
accusative,2.1
dative,1.4
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.9
dative obj,0.2
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,1.1
gen+prep obj,0.5
present forms,0.0
past forms,0.9
perfect forms,0.0
pqp forms,0.6
perfect+pqp forms,1.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.6
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.5
subjunctions,0.2
relative clauses,0.7
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.3
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,100.2
concessive,9.9
conditional,208.6
consecutive,7.3
final,17.0
interrogative,5.3
modal,47.6
other,244.9
temporal,207.4
A1 features,4
A1 features summed,1.3
A2 features,8
A2 features summed,317.90000000000003
B1 features,5
B1 features summed,230.6
level features (all),34
level features (all) summed,49.00000000000002
