Feature,Value
words per sent,15.5
LIX,25.82258064516129
# words,155
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.625
adjectives,0.5
nouns,1.8
verbs,2.6
pronouns,3.5
particles,3.7
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.8
full verbs,1.4
split verbs,0.1
nominative,0.3
accusative,0.9
dative,0.7
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.7
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,0.9
past forms,0.5
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.2
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.1
subj/pred inversions,0.4
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,107.0
concessive,10.6
conditional,221.3
consecutive,7.3
final,17.2
interrogative,5.5
modal,50.1
other,254.2
temporal,218.9
A1 features,6
A1 features summed,1.0000000000000002
A2 features,6
A2 features summed,336.50000000000006
B1 features,5
B1 features summed,242.5
level features (all),31
level features (all) summed,25.6
