Feature,Value
words per sent,19.2
LIX,30.1375
# words,192
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7227722772277227
adjectives,0.6
nouns,3.1
verbs,2.2
pronouns,4.7
particles,5.4
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.3
full verbs,1.6
split verbs,0.3
nominative,0.7
accusative,1.1
dative,0.6
genitive,0.4
gen modifiers,0.2
prep with gen,0.1
all genitives,0.4
accusative obj,0.8
dative obj,0.2
genitive obj,0.1
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.2
present forms,0.1
past forms,1.4
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.3
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,110.1
concessive,11.2
conditional,226.5
consecutive,7.3
final,17.2
interrogative,5.7
modal,51.8
other,258.9
temporal,223.5
A1 features,3
A1 features summed,0.7
A2 features,7
A2 features summed,345.8
B1 features,6
B1 features summed,247.9
level features (all),32
level features (all) summed,30.100000000000005
