Feature,Value
words per sent,18.5
LIX,30.39189189189189
# words,185
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7010309278350515
adjectives,1.0
nouns,2.5
verbs,3.0
pronouns,4.4
particles,4.4
punctuation marks,3.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.5
full verbs,2.2
split verbs,0.1
nominative,1.3
accusative,0.7
dative,0.7
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.5
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.8
gen+prep obj,0.2
present forms,0.4
past forms,1.6
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.1
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.8
subjunctions,0.1
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.1
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,111.0
concessive,11.2
conditional,227.8
consecutive,7.3
final,17.2
interrogative,5.7
modal,51.9
other,260.5
temporal,224.5
A1 features,6
A1 features summed,1.6
A2 features,7
A2 features summed,348.3
B1 features,6
B1 features summed,249.1
level features (all),33
level features (all) summed,31.200000000000014
