Feature,Value
words per sent,20.5
LIX,37.08536585365854
# words,205
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6601941747572816
adjectives,0.3
nouns,2.7
verbs,3.3
pronouns,5.1
particles,5.4
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.8
full verbs,2.2
split verbs,0.0
nominative,0.7
accusative,1.6
dative,0.8
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.2
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.4
gen+prep obj,0.1
present forms,1.6
past forms,0.1
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.2
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,106.8
concessive,10.6
conditional,221.0
consecutive,7.3
final,17.2
interrogative,5.5
modal,50.1
other,253.9
temporal,218.6
A1 features,5
A1 features summed,0.8999999999999999
A2 features,6
A2 features summed,335.5
B1 features,5
B1 features summed,242.5
level features (all),30
level features (all) summed,33.60000000000001
