Feature,Value
words per sent,14.6
LIX,34.463013698630135
# words,146
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6626506024096386
adjectives,0.8
nouns,3.2
verbs,1.9
pronouns,3.1
particles,2.7
punctuation marks,2.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.6
full verbs,1.1
split verbs,0.0
nominative,0.9
accusative,1.0
dative,0.7
genitive,0.3
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.7
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.7
gen+prep obj,0.0
present forms,0.6
past forms,0.5
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.3
subj 2 forms,0.0
subj 2 aux forms,0.2
ind speech,0.0
irrealis mode,0.1
all subj forms,0.5
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.0
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.0
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,97.7
concessive,9.9
conditional,201.7
consecutive,7.3
final,16.9
interrogative,5.0
modal,46.9
other,240.2
temporal,200.5
A1 features,3
A1 features summed,0.5
A2 features,6
A2 features summed,307.59999999999997
B1 features,5
B1 features summed,223.0
level features (all),28
level features (all) summed,24.3
