Feature,Value
words per sent,29.7
LIX,46.53501683501683
# words,297
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5574712643678161
adjectives,1.5
nouns,4.1
verbs,4.1
pronouns,7.0
particles,6.9
punctuation marks,6.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.4
full verbs,3.2
split verbs,0.1
nominative,0.8
accusative,1.4
dative,1.4
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.1
dative obj,0.4
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,1.5
gen+prep obj,0.5
present forms,2.5
past forms,0.0
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.4
subj 2 forms,0.1
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.6
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.3
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.4
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,106.5
concessive,10.4
conditional,220.4
consecutive,7.3
final,17.2
interrogative,5.5
modal,49.8
other,253.4
temporal,218.2
A1 features,5
A1 features summed,1.3000000000000003
A2 features,7
A2 features summed,335.40000000000003
B1 features,5
B1 features summed,241.89999999999998
level features (all),34
level features (all) summed,48.300000000000004
