Feature,Value
words per sent,20.6
LIX,35.64854368932039
# words,206
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6694915254237288
adjectives,1.3
nouns,3.2
verbs,2.3
pronouns,4.4
particles,6.0
punctuation marks,3.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.8
full verbs,1.2
split verbs,0.0
nominative,0.7
accusative,0.9
dative,0.9
genitive,0.2
gen modifiers,0.1
prep with gen,0.0
all genitives,0.2
accusative obj,0.5
dative obj,0.2
genitive obj,0.1
prepositional obj,0.2
acc+dat obj,0.7
gen+prep obj,0.3
present forms,0.4
past forms,0.5
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.3
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.5
question marks,0.5
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,30.0
concessive,2.3
conditional,52.9
consecutive,0.0
final,4.8
interrogative,1.5
modal,15.3
other,74.8
temporal,52.8
A1 features,5
A1 features summed,1.7
A2 features,6
A2 features summed,83.89999999999999
B1 features,4
B1 features summed,56.699999999999996
level features (all),34
level features (all) summed,31.700000000000003
