Feature,Value
words per sent,29.8
LIX,51.61208053691276
# words,298
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6982248520710059
adjectives,2.2
nouns,5.5
verbs,4.3
pronouns,7.1
particles,6.4
punctuation marks,4.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.0
full verbs,3.1
split verbs,0.0
nominative,1.0
accusative,1.4
dative,2.4
genitive,0.5
gen modifiers,0.5
prep with gen,0.0
all genitives,0.5
accusative obj,1.2
dative obj,0.7
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,1.9
gen+prep obj,0.4
present forms,0.1
past forms,1.5
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.2
ind speech,0.0
irrealis mode,0.0
all subj forms,0.4
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.4
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.4
question words,0.3
question marks,0.1
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,89.3
concessive,9.4
conditional,175.1
consecutive,5.4
final,16.0
interrogative,4.5
modal,40.2
other,220.5
temporal,165.7
A1 features,5
A1 features summed,1.2000000000000002
A2 features,8
A2 features summed,273.09999999999997
B1 features,4
B1 features summed,185.0
level features (all),36
level features (all) summed,49.900000000000006
