Feature,Value
words per sent,43.1
LIX,59.80533642691415
# words,431
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6487603305785123
adjectives,3.7
nouns,5.5
verbs,6.3
pronouns,9.3
particles,11.6
punctuation marks,6.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.6
aux verbs,1.3
full verbs,4.1
split verbs,0.2
nominative,1.3
accusative,2.2
dative,2.3
genitive,0.3
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,1.4
dative obj,0.9
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,2.3
gen+prep obj,0.3
present forms,1.6
past forms,1.4
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.1
all subj forms,0.4
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.6
subjunctions,0.4
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.6
question words,0.2
question marks,0.3
subj/pred inversions,1.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,89.0
concessive,9.4
conditional,173.6
consecutive,5.3
final,16.0
interrogative,4.5
modal,39.8
other,218.7
temporal,163.1
A1 features,7
A1 features summed,2.6
A2 features,7
A2 features summed,270.8
B1 features,5
B1 features summed,182.9
level features (all),39
level features (all) summed,69.99999999999996
