Feature,Value
words per sent,18.3
LIX,32.507650273224044
# words,183
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6101694915254238
adjectives,1.0
nouns,2.5
verbs,2.9
pronouns,3.5
particles,3.9
punctuation marks,4.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.5
aux verbs,0.5
full verbs,1.9
split verbs,0.2
nominative,0.6
accusative,0.8
dative,0.7
genitive,0.3
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.6
dative obj,0.3
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,0.9
gen+prep obj,0.3
present forms,1.1
past forms,0.6
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.1
relative clauses,0.4
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,89.6
concessive,9.4
conditional,176.7
consecutive,5.4
final,16.0
interrogative,4.5
modal,40.7
other,221.7
temporal,167.7
A1 features,6
A1 features summed,1.4000000000000001
A2 features,7
A2 features summed,273.09999999999997
B1 features,5
B1 features summed,187.4
level features (all),34
level features (all) summed,30.700000000000014
