Feature,Value
words per sent,28.9
LIX,42.048788927335636
# words,289
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5823529411764706
adjectives,2.3
nouns,3.3
verbs,4.7
pronouns,6.2
particles,7.2
punctuation marks,5.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.7
aux verbs,1.0
full verbs,3.0
split verbs,0.2
nominative,0.7
accusative,1.8
dative,1.0
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.7
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,2.1
gen+prep obj,0.2
present forms,2.1
past forms,0.4
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.2
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.6
question words,0.3
question marks,0.0
subj/pred inversions,0.8
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,89.6
concessive,9.4
conditional,177.4
consecutive,5.4
final,16.3
interrogative,4.5
modal,40.7
other,222.5
temporal,168.3
A1 features,7
A1 features summed,2.5000000000000004
A2 features,7
A2 features summed,273.59999999999997
B1 features,4
B1 features summed,187.60000000000002
level features (all),34
level features (all) summed,48.10000000000002
