Feature,Value
words per sent,30.5
LIX,45.25409836065574
# words,305
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6896551724137931
adjectives,1.9
nouns,4.6
verbs,4.8
pronouns,6.6
particles,7.9
punctuation marks,4.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.6
full verbs,3.9
split verbs,0.1
nominative,0.9
accusative,2.7
dative,1.7
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,2.1
dative obj,0.4
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,2.5
gen+prep obj,0.5
present forms,0.6
past forms,1.7
perfect forms,0.1
pqp forms,0.2
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.0
comp+superlative,0.2
conjunctions,0.7
subjunctions,0.5
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.3
question marks,0.1
subj/pred inversions,0.6
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.1
'brauchen'+'lassen' constr,0.1
causal,91.4
concessive,9.5
conditional,185.6
consecutive,6.9
final,16.7
interrogative,4.7
modal,43.1
other,229.1
temporal,179.4
A1 features,7
A1 features summed,1.9000000000000001
A2 features,8
A2 features summed,286.8
B1 features,5
B1 features summed,200.7
level features (all),41
level features (all) summed,53.80000000000004
