Feature,Value
words per sent,18.0
LIX,31.88888888888889
# words,180
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5508474576271186
adjectives,1.1
nouns,2.2
verbs,2.6
pronouns,3.6
particles,3.4
punctuation marks,5.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.4
full verbs,1.9
split verbs,0.1
nominative,1.0
accusative,0.9
dative,0.3
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.8
gen+prep obj,0.1
present forms,1.0
past forms,0.6
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.1
subjunctions,0.2
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.5
question marks,0.0
subj/pred inversions,1.0
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,89.5
concessive,9.4
conditional,175.4
consecutive,5.4
final,16.0
interrogative,4.5
modal,40.5
other,221.4
temporal,166.4
A1 features,7
A1 features summed,1.4000000000000001
A2 features,7
A2 features summed,271.29999999999995
B1 features,5
B1 features summed,185.9
level features (all),33
level features (all) summed,29.100000000000012
