Feature,Value
words per sent,20.1
LIX,36.517910447761196
# words,201
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.591304347826087
adjectives,0.9
nouns,3.7
verbs,2.9
pronouns,3.3
particles,4.9
punctuation marks,4.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.3
full verbs,1.4
split verbs,0.0
nominative,1.5
accusative,1.1
dative,0.9
genitive,0.1
gen modifiers,0.0
prep with gen,0.0
all genitives,0.1
accusative obj,0.8
dative obj,0.0
genitive obj,0.1
prepositional obj,0.0
acc+dat obj,0.8
gen+prep obj,0.1
present forms,1.0
past forms,0.4
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.1
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,92.4
concessive,9.5
conditional,189.0
consecutive,7.2
final,16.9
interrogative,4.8
modal,44.7
other,232.2
temporal,186.3
A1 features,4
A1 features summed,0.4
A2 features,5
A2 features summed,289.1
B1 features,6
B1 features summed,208.20000000000002
level features (all),33
level features (all) summed,31.90000000000002
