Feature,Value
words per sent,19.9
LIX,26.935175879396983
# words,199
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.45132743362831856
adjectives,0.5
nouns,3.2
verbs,3.5
pronouns,4.4
particles,3.8
punctuation marks,4.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.6
full verbs,2.4
split verbs,0.4
nominative,1.2
accusative,1.5
dative,0.8
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.3
dative obj,0.2
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.5
gen+prep obj,0.3
present forms,0.5
past forms,1.7
perfect forms,0.2
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.2
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.6
subjunctions,0.1
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.5
question words,0.0
question marks,0.0
subj/pred inversions,1.0
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,26.0
concessive,2.2
conditional,44.8
consecutive,0.0
final,3.8
interrogative,1.2
modal,14.4
other,59.2
temporal,43.2
A1 features,6
A1 features summed,2.1
A2 features,6
A2 features summed,73.1
B1 features,4
B1 features summed,47.0
level features (all),33
level features (all) summed,36.600000000000016
