Feature,Value
words per sent,6.1
LIX,11.018032786885247
# words,61
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.39285714285714285
adjectives,0.3
nouns,1.7
verbs,0.5
pronouns,0.5
particles,0.3
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.0
full verbs,0.5
split verbs,0.0
nominative,0.3
accusative,0.3
dative,0.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.3
dative obj,0.1
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.4
gen+prep obj,0.1
present forms,0.3
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.0
subj/pred inversions,0.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,25.0
concessive,2.2
conditional,40.5
consecutive,0.0
final,2.8
interrogative,1.2
modal,13.9
other,55.2
temporal,40.7
A1 features,1
A1 features summed,0.1
A2 features,4
A2 features summed,65.7
B1 features,3
B1 features summed,44.1
level features (all),18
level features (all) summed,8.899999999999999
