Feature,Value
words per sent,26.5
LIX,38.198113207547166
# words,265
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5314685314685315
adjectives,1.0
nouns,3.3
verbs,4.6
pronouns,6.4
particles,6.1
punctuation marks,5.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.6
aux verbs,0.8
full verbs,2.9
split verbs,0.6
nominative,0.9
accusative,2.1
dative,1.1
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.5
dative obj,0.5
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,2.0
gen+prep obj,0.5
present forms,0.9
past forms,1.9
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.5
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.7
subjunctions,0.1
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,1.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,26.5
concessive,2.2
conditional,46.0
consecutive,0.0
final,3.9
interrogative,1.2
modal,14.6
other,60.5
temporal,44.1
A1 features,5
A1 features summed,2.1
A2 features,5
A2 features summed,75.4
B1 features,4
B1 features summed,47.9
level features (all),33
level features (all) summed,47.20000000000002
