Feature,Value
words per sent,28.9
LIX,35.47439446366782
# words,289
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5421686746987951
adjectives,0.9
nouns,4.3
verbs,4.7
pronouns,7.1
particles,6.4
punctuation marks,5.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.6
aux verbs,0.4
full verbs,3.4
split verbs,0.4
nominative,0.9
accusative,2.4
dative,1.7
genitive,0.3
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,2.0
dative obj,0.5
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,2.5
gen+prep obj,0.4
present forms,1.9
past forms,1.2
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.7
subjunctions,0.3
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.0
question marks,0.0
subj/pred inversions,1.6
placeholder 'es',0.0
'brauchen' constr,0.1
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.1
causal,26.0
concessive,2.2
conditional,44.8
consecutive,0.0
final,3.8
interrogative,1.2
modal,14.4
other,59.5
temporal,43.2
A1 features,5
A1 features summed,2.2
A2 features,7
A2 features summed,73.2
B1 features,4
B1 features summed,47.0
level features (all),36
level features (all) summed,52.20000000000001
