Feature,Value
words per sent,23.6
LIX,31.227118644067797
# words,236
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5735294117647058
adjectives,0.9
nouns,3.7
verbs,3.7
pronouns,5.8
particles,5.1
punctuation marks,4.1
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.4
full verbs,2.7
split verbs,0.3
nominative,0.8
accusative,1.9
dative,1.4
genitive,0.2
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.5
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.9
gen+prep obj,0.2
present forms,1.7
past forms,0.8
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.5
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.0
question marks,0.1
subj/pred inversions,1.4
placeholder 'es',0.0
'brauchen' constr,0.1
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.1
causal,28.2
concessive,2.2
conditional,48.4
consecutive,0.0
final,4.3
interrogative,1.2
modal,14.8
other,64.6
temporal,45.8
A1 features,6
A1 features summed,1.7000000000000002
A2 features,7
A2 features summed,78.19999999999999
B1 features,4
B1 features summed,49.599999999999994
level features (all),37
level features (all) summed,42.100000000000016
