Feature,Value
words per sent,22.5
LIX,34.94444444444444
# words,225
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5968992248062015
adjectives,1.3
nouns,3.6
verbs,3.4
pronouns,6.0
particles,4.5
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.5
full verbs,2.9
split verbs,0.4
nominative,0.5
accusative,2.6
dative,1.2
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.7
dative obj,0.4
genitive obj,0.0
prepositional obj,0.6
acc+dat obj,2.1
gen+prep obj,0.6
present forms,0.7
past forms,1.7
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.3
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.2
question marks,0.1
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,25.7
concessive,2.2
conditional,44.4
consecutive,0.0
final,3.6
interrogative,1.2
modal,14.3
other,58.5
temporal,43.0
A1 features,5
A1 features summed,1.2000000000000002
A2 features,6
A2 features summed,73.0
B1 features,4
B1 features summed,46.699999999999996
level features (all),34
level features (all) summed,41.90000000000001
