Feature,Value
words per sent,29.6
LIX,40.748648648648654
# words,296
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5128205128205128
adjectives,1.2
nouns,3.9
verbs,5.8
pronouns,8.0
particles,6.1
punctuation marks,4.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.5
aux verbs,1.4
full verbs,3.7
split verbs,0.2
nominative,1.4
accusative,2.2
dative,0.9
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.9
dative obj,0.5
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,2.4
gen+prep obj,0.3
present forms,1.2
past forms,1.8
perfect forms,0.1
pqp forms,0.1
perfect+pqp forms,0.6
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.8
subjunctions,0.3
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.6
question words,0.3
question marks,0.0
subj/pred inversions,1.3
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,23.9
concessive,2.2
conditional,37.4
consecutive,0.0
final,2.5
interrogative,1.2
modal,13.7
other,50.9
temporal,37.5
A1 features,6
A1 features summed,2.5
A2 features,6
A2 features summed,64.0
B1 features,4
B1 features summed,41.199999999999996
level features (all),36
level features (all) summed,53.7
