Feature,Value
words per sent,31.5
LIX,46.1031746031746
# words,315
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6720430107526881
adjectives,3.2
nouns,6.4
verbs,3.1
pronouns,5.6
particles,8.0
punctuation marks,5.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.1
full verbs,1.8
split verbs,0.0
nominative,2.3
accusative,1.1
dative,2.0
genitive,0.3
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.7
dative obj,0.2
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.9
gen+prep obj,0.0
present forms,0.7
past forms,1.1
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.8
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.2
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.5
question words,0.4
question marks,0.2
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,63.6
concessive,5.5
conditional,115.6
consecutive,0.0
final,10.6
interrogative,3.0
modal,32.7
other,153.8
temporal,126.6
A1 features,5
A1 features summed,1.6
A2 features,5
A2 features summed,180.7
B1 features,4
B1 features summed,135.4
level features (all),32
level features (all) summed,48.20000000000001
