Feature,Value
words per sent,36.3
LIX,56.13471074380165
# words,363
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5714285714285714
adjectives,2.5
nouns,5.8
verbs,6.3
pronouns,8.5
particles,7.7
punctuation marks,5.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.9
full verbs,5.1
split verbs,0.7
nominative,1.2
accusative,2.8
dative,1.8
genitive,0.5
gen modifiers,0.1
prep with gen,0.1
all genitives,0.2
accusative obj,2.3
dative obj,0.4
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,2.7
gen+prep obj,0.4
present forms,0.2
past forms,2.5
perfect forms,0.1
pqp forms,0.2
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,1.0
subj 2 forms,0.0
subj 2 aux forms,0.3
ind speech,0.5
irrealis mode,0.0
all subj forms,1.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.3
superlative,0.0
comp+superlative,0.3
conjunctions,0.5
subjunctions,0.4
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.5
question words,0.2
question marks,0.0
subj/pred inversions,1.7
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,62.8
concessive,5.5
conditional,108.8
consecutive,0.0
final,10.2
interrogative,2.9
modal,32.1
other,149.9
temporal,122.8
A1 features,6
A1 features summed,2.1
A2 features,8
A2 features summed,175.6
B1 features,4
B1 features summed,131.6
level features (all),41
level features (all) summed,67.0
