Feature,Value
words per sent,31.0
LIX,56.16129032258064
# words,310
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6774193548387096
adjectives,3.7
nouns,5.8
verbs,3.8
pronouns,7.6
particles,5.8
punctuation marks,4.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.5
full verbs,3.1
split verbs,0.0
nominative,1.0
accusative,2.3
dative,1.8
genitive,1.3
gen modifiers,0.9
prep with gen,0.0
all genitives,0.9
accusative obj,1.8
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,2.1
gen+prep obj,0.2
present forms,1.6
past forms,1.0
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.1
comp+superlative,0.2
conjunctions,0.2
subjunctions,0.1
relative clauses,0.8
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.3
question words,0.2
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.3
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,47.4
concessive,3.5
conditional,75.9
consecutive,0.0
final,8.2
interrogative,2.4
modal,25.3
other,114.5
temporal,96.8
A1 features,5
A1 features summed,1.0
A2 features,8
A2 features summed,125.9
B1 features,4
B1 features summed,103.5
level features (all),39
level features (all) summed,53.80000000000001
