Feature,Value
words per sent,19.5
LIX,37.44871794871795
# words,195
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6206896551724138
adjectives,1.2
nouns,3.2
verbs,3.0
pronouns,4.7
particles,3.6
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.4
full verbs,2.3
split verbs,0.3
nominative,1.4
accusative,1.1
dative,0.7
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.8
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.1
gen+prep obj,0.2
present forms,0.8
past forms,1.2
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.3
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.0
question words,0.2
question marks,0.1
subj/pred inversions,0.8
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,40.8
concessive,3.5
conditional,68.8
consecutive,0.0
final,7.3
interrogative,2.2
modal,18.8
other,101.6
temporal,84.4
A1 features,5
A1 features summed,0.8
A2 features,6
A2 features summed,111.5
B1 features,3
B1 features summed,90.10000000000001
level features (all),34
level features (all) summed,33.10000000000001
