Feature,Value
words per sent,32.0
LIX,52.9375
# words,320
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.572139303482587
adjectives,2.1
nouns,5.6
verbs,4.4
pronouns,7.8
particles,6.2
punctuation marks,5.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.5
full verbs,3.6
split verbs,0.3
nominative,2.0
accusative,1.8
dative,1.9
genitive,0.6
gen modifiers,0.4
prep with gen,0.0
all genitives,0.5
accusative obj,1.2
dative obj,0.8
genitive obj,0.1
prepositional obj,0.1
acc+dat obj,2.0
gen+prep obj,0.2
present forms,1.7
past forms,1.3
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.8
subjunctions,0.0
relative clauses,0.8
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.7
question marks,0.1
subj/pred inversions,1.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,45.1
concessive,3.5
conditional,74.1
consecutive,0.0
final,7.7
interrogative,2.4
modal,23.4
other,111.2
temporal,94.3
A1 features,8
A1 features summed,2.5
A2 features,7
A2 features summed,121.9
B1 features,5
B1 features summed,101.1
level features (all),37
level features (all) summed,55.60000000000001
