Feature,Value
words per sent,37.6
LIX,64.19574468085106
# words,376
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6743119266055045
adjectives,4.2
nouns,6.3
verbs,5.4
pronouns,8.5
particles,8.5
punctuation marks,4.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.0
full verbs,4.0
split verbs,0.2
nominative,1.5
accusative,2.5
dative,2.2
genitive,0.7
gen modifiers,0.6
prep with gen,0.0
all genitives,0.6
accusative obj,1.8
dative obj,0.5
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,2.3
gen+prep obj,0.5
present forms,0.5
past forms,1.8
perfect forms,0.0
pqp forms,0.3
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.1
passive with agens,0.0
comparative,0.0
superlative,0.2
comp+superlative,0.2
conjunctions,0.7
subjunctions,0.6
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.2
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,43.8
concessive,3.5
conditional,72.7
consecutive,0.0
final,7.7
interrogative,2.3
modal,22.7
other,109.1
temporal,93.0
A1 features,4
A1 features summed,1.3
A2 features,7
A2 features summed,119.99999999999999
B1 features,5
B1 features summed,99.1
level features (all),38
level features (all) summed,63.300000000000026
