Feature,Value
words per sent,34.4
LIX,55.62093023255814
# words,344
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6019417475728155
adjectives,3.4
nouns,4.8
verbs,4.8
pronouns,7.0
particles,8.9
punctuation marks,5.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.0
full verbs,3.3
split verbs,0.6
nominative,1.3
accusative,1.9
dative,1.8
genitive,0.4
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,1.0
dative obj,0.6
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,1.6
gen+prep obj,0.5
present forms,0.4
past forms,1.9
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.3
subj 2 forms,0.2
subj 2 aux forms,0.2
ind speech,0.0
irrealis mode,0.0
all subj forms,0.7
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.4
superlative,0.0
comp+superlative,0.4
conjunctions,0.4
subjunctions,0.4
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.2
all participial clauses,0.2
negations,0.4
question words,0.1
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,48.1
concessive,3.5
conditional,76.8
consecutive,0.0
final,8.2
interrogative,2.4
modal,26.1
other,115.6
temporal,98.3
A1 features,5
A1 features summed,1.8
A2 features,8
A2 features summed,128.8
B1 features,4
B1 features summed,104.3
level features (all),40
level features (all) summed,57.59999999999999
