Feature,Value
words per sent,19.1
LIX,33.23612565445026
# words,191
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6339285714285714
adjectives,1.6
nouns,2.3
verbs,2.8
pronouns,4.5
particles,3.9
punctuation marks,3.9
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.3
full verbs,2.1
split verbs,0.4
nominative,0.6
accusative,1.3
dative,1.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.2
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.5
gen+prep obj,0.2
present forms,0.4
past forms,1.3
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.1
subj/pred inversions,0.8
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,40.5
concessive,3.5
conditional,68.5
consecutive,0.0
final,7.3
interrogative,2.1
modal,18.8
other,101.4
temporal,83.9
A1 features,6
A1 features summed,1.1
A2 features,6
A2 features summed,110.9
B1 features,4
B1 features summed,89.6
level features (all),32
level features (all) summed,32.20000000000001
