Feature,Value
words per sent,25.8
LIX,45.179844961240306
# words,258
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.695364238410596
adjectives,1.6
nouns,4.0
verbs,4.0
pronouns,6.3
particles,5.5
punctuation marks,4.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.3
full verbs,3.2
split verbs,0.1
nominative,1.0
accusative,1.1
dative,1.3
genitive,0.3
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,0.7
dative obj,0.3
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,1.0
gen+prep obj,0.4
present forms,1.1
past forms,1.1
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.2
all participial clauses,0.3
negations,0.2
question words,0.4
question marks,0.1
subj/pred inversions,0.7
placeholder 'es',0.2
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,43.0
concessive,3.5
conditional,72.2
consecutive,0.0
final,7.5
interrogative,2.3
modal,21.5
other,107.3
temporal,91.0
A1 features,8
A1 features summed,1.6
A2 features,6
A2 features summed,117.3
B1 features,4
B1 features summed,96.89999999999999
level features (all),42
level features (all) summed,42.500000000000014
