Feature,Value
words per sent,32.4
LIX,52.77037037037037
# words,324
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.685
adjectives,3.9
nouns,5.4
verbs,4.3
pronouns,6.6
particles,6.4
punctuation marks,5.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.7
full verbs,3.1
split verbs,0.2
nominative,1.4
accusative,0.9
dative,1.5
genitive,0.5
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,0.5
dative obj,0.1
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.6
gen+prep obj,0.0
present forms,0.6
past forms,1.2
perfect forms,0.0
pqp forms,0.2
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.2
subjunctions,0.1
relative clauses,0.2
participial clauses pres,0.2
participial clauses past,0.0
all participial clauses,0.2
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,46.7
concessive,3.5
conditional,75.5
consecutive,0.0
final,8.0
interrogative,2.4
modal,24.8
other,113.9
temporal,96.6
A1 features,5
A1 features summed,0.9000000000000001
A2 features,6
A2 features summed,124.0
B1 features,4
B1 features summed,102.7
level features (all),34
level features (all) summed,47.60000000000003
