Feature,Value
words per sent,26.1
LIX,52.5367816091954
# words,261
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7515923566878981
adjectives,3.3
nouns,5.6
verbs,2.5
pronouns,5.5
particles,6.3
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.3
full verbs,2.2
split verbs,0.3
nominative,1.6
accusative,2.1
dative,1.2
genitive,0.5
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,0.9
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.1
gen+prep obj,0.2
present forms,0.7
past forms,0.6
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.3
superlative,0.0
comp+superlative,0.3
conjunctions,0.2
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.1
question words,0.3
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,157.7
concessive,17.5
conditional,290.7
consecutive,7.6
final,21.8
interrogative,8.5
modal,64.5
other,330.1
temporal,274.0
A1 features,5
A1 features summed,0.9999999999999999
A2 features,8
A2 features summed,457.7
B1 features,5
B1 features summed,307.70000000000005
level features (all),33
level features (all) summed,41.20000000000002
