Feature,Value
words per sent,22.8
LIX,44.72982456140351
# words,228
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7213114754098361
adjectives,1.8
nouns,3.9
verbs,2.9
pronouns,5.8
particles,5.6
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.7
full verbs,1.8
split verbs,0.0
nominative,1.2
accusative,2.3
dative,0.8
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.6
dative obj,0.3
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.9
gen+prep obj,0.1
present forms,1.9
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.2
comp+superlative,0.2
conjunctions,0.0
subjunctions,0.4
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.1
all participial clauses,0.2
negations,0.3
question words,0.1
question marks,0.0
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,149.1
concessive,17.3
conditional,282.9
consecutive,7.5
final,20.4
interrogative,8.2
modal,63.9
other,324.3
temporal,269.0
A1 features,3
A1 features summed,0.6000000000000001
A2 features,5
A2 features summed,439.9
B1 features,5
B1 features summed,302.1
level features (all),30
level features (all) summed,37.90000000000001
