Feature,Value
words per sent,31.1
LIX,45.569453376205786
# words,311
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.711764705882353
adjectives,1.9
nouns,5.0
verbs,4.1
pronouns,7.3
particles,8.3
punctuation marks,4.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.4
full verbs,2.4
split verbs,0.6
nominative,1.4
accusative,2.0
dative,1.2
genitive,0.4
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,1.8
dative obj,0.1
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.9
gen+prep obj,0.2
present forms,1.9
past forms,0.1
perfect forms,0.2
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.2
all futur forms,0.1
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.1
comp+superlative,0.2
conjunctions,0.9
subjunctions,0.0
relative clauses,0.5
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.1
question marks,0.1
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,146.1
concessive,17.2
conditional,280.2
consecutive,7.5
final,19.6
interrogative,7.7
modal,63.8
other,322.7
temporal,267.4
A1 features,9
A1 features summed,2.6000000000000005
A2 features,8
A2 features summed,434.69999999999993
B1 features,5
B1 features summed,300.29999999999995
level features (all),37
level features (all) summed,51.30000000000002
