Feature,Value
words per sent,58.6
LIX,80.95494880546076
# words,586
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6717325227963525
adjectives,4.5
nouns,10.3
verbs,6.4
pronouns,13.1
particles,15.7
punctuation marks,8.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.5
aux verbs,1.4
full verbs,4.3
split verbs,0.1
nominative,3.1
accusative,2.9
dative,2.8
genitive,1.0
gen modifiers,0.9
prep with gen,0.0
all genitives,0.9
accusative obj,1.8
dative obj,0.6
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,2.4
gen+prep obj,0.2
present forms,2.9
past forms,0.2
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.2
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.4
imperatives,0.1
passive voice,0.1
passive with agens,0.0
comparative,0.2
superlative,0.0
comp+superlative,0.2
conjunctions,0.3
subjunctions,0.4
relative clauses,2.0
participial clauses pres,0.0
participial clauses past,0.3
all participial clauses,0.3
negations,0.8
question words,0.3
question marks,0.1
subj/pred inversions,0.9
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.1
'brauchen'+'lassen' constr,0.1
causal,172.0
concessive,18.2
conditional,304.4
consecutive,7.7
final,24.8
interrogative,9.5
modal,67.0
other,341.0
temporal,283.2
A1 features,9
A1 features summed,2.400000000000001
A2 features,8
A2 features summed,486.19999999999993
B1 features,6
B1 features summed,320.7
level features (all),45
level features (all) summed,92.09999999999998
