Feature,Value
words per sent,37.1
LIX,58.93288409703504
# words,371
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7178217821782178
adjectives,2.3
nouns,8.3
verbs,4.2
pronouns,8.9
particles,8.4
punctuation marks,4.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.4
full verbs,2.5
split verbs,0.4
nominative,2.3
accusative,3.0
dative,2.7
genitive,0.7
gen modifiers,0.5
prep with gen,0.2
all genitives,0.7
accusative obj,1.7
dative obj,0.2
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.9
gen+prep obj,0.3
present forms,0.7
past forms,1.2
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.6
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.4
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.5
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.2
comp+superlative,0.4
conjunctions,0.5
subjunctions,0.2
relative clauses,1.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.3
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,140.3
concessive,17.1
conditional,275.1
consecutive,7.5
final,19.2
interrogative,7.5
modal,63.5
other,319.3
temporal,265.7
A1 features,4
A1 features summed,1.4
A2 features,9
A2 features summed,425.4000000000001
B1 features,5
B1 features summed,299.0
level features (all),38
level features (all) summed,62.90000000000003
