Feature,Value
words per sent,25.4
LIX,52.959055118110236
# words,254
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7703703703703704
adjectives,1.5
nouns,5.5
verbs,3.0
pronouns,4.9
particles,7.8
punctuation marks,2.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.9
full verbs,1.8
split verbs,0.3
nominative,1.4
accusative,2.0
dative,1.6
genitive,0.4
gen modifiers,0.3
prep with gen,0.0
all genitives,0.3
accusative obj,1.0
dative obj,0.1
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,1.1
gen+prep obj,0.4
present forms,0.7
past forms,0.9
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,167.9
concessive,17.9
conditional,300.1
consecutive,7.6
final,23.6
interrogative,9.3
modal,66.7
other,337.8
temporal,280.6
A1 features,5
A1 features summed,1.1
A2 features,7
A2 features summed,477.30000000000007
B1 features,5
B1 features summed,315.8
level features (all),31
level features (all) summed,41.3
