Feature,Value
words per sent,103.9
LIX,127.57661212704524
# words,1039
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6468699839486356
adjectives,10.4
nouns,21.8
verbs,11.0
pronouns,19.9
particles,25.6
punctuation marks,14.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,2.4
full verbs,8.1
split verbs,0.4
nominative,5.4
accusative,5.2
dative,4.4
genitive,1.6
gen modifiers,1.0
prep with gen,0.1
all genitives,1.2
accusative obj,3.8
dative obj,0.6
genitive obj,0.1
prepositional obj,0.2
acc+dat obj,4.4
gen+prep obj,0.3
present forms,3.4
past forms,2.4
perfect forms,0.3
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.7
superlative,0.3
comp+superlative,1.0
conjunctions,1.3
subjunctions,1.4
relative clauses,5.2
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.5
question words,0.9
question marks,0.0
subj/pred inversions,0.9
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,138.4
concessive,17.1
conditional,273.0
consecutive,7.4
final,19.0
interrogative,7.5
modal,63.4
other,318.1
temporal,264.5
A1 features,7
A1 features summed,3.7999999999999994
A2 features,8
A2 features summed,423.7
B1 features,6
B1 features summed,301.8
level features (all),43
level features (all) summed,162.1
