Feature,Value
words per sent,22.5
LIX,36.72222222222222
# words,225
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.676923076923077
adjectives,1.0
nouns,4.2
verbs,3.1
pronouns,4.6
particles,5.8
punctuation marks,3.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.6
full verbs,2.5
split verbs,0.3
nominative,0.8
accusative,1.4
dative,1.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.1
dative obj,0.3
genitive obj,0.0
prepositional obj,0.5
acc+dat obj,1.4
gen+prep obj,0.5
present forms,0.4
past forms,1.5
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.6
subjunctions,0.1
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.1
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,196.4
concessive,23.5
conditional,355.1
consecutive,7.8
final,27.2
interrogative,12.0
modal,78.0
other,399.3
temporal,335.3
A1 features,5
A1 features summed,1.3000000000000003
A2 features,7
A2 features summed,561.7
B1 features,5
B1 features summed,379.20000000000005
level features (all),33
level features (all) summed,38.50000000000003
