Feature,Value
words per sent,20.2
LIX,41.98217821782178
# words,202
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6814159292035398
adjectives,1.5
nouns,3.0
verbs,3.2
pronouns,4.6
particles,5.1
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.8
full verbs,2.3
split verbs,0.2
nominative,0.7
accusative,0.9
dative,1.5
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.9
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.2
gen+prep obj,0.2
present forms,0.1
past forms,1.1
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.1
irrealis mode,0.1
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.3
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.1
question words,0.0
question marks,0.0
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,194.6
concessive,23.1
conditional,353.8
consecutive,7.8
final,26.9
interrogative,12.0
modal,77.4
other,396.4
temporal,332.8
A1 features,3
A1 features summed,0.5
A2 features,7
A2 features summed,558.0
B1 features,5
B1 features summed,375.90000000000003
level features (all),34
level features (all) summed,33.10000000000001
