Feature,Value
words per sent,17.9
LIX,28.514525139664805
# words,179
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6132075471698113
adjectives,0.6
nouns,2.3
verbs,4.0
pronouns,3.6
particles,3.9
punctuation marks,3.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.3
full verbs,2.0
split verbs,0.3
nominative,0.2
accusative,1.5
dative,0.9
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.2
dative obj,0.5
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,1.7
gen+prep obj,0.0
present forms,1.2
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.3
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.4
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.2
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,193.7
concessive,23.1
conditional,353.2
consecutive,7.8
final,26.9
interrogative,11.9
modal,77.0
other,394.4
temporal,331.4
A1 features,6
A1 features summed,1.6
A2 features,5
A2 features summed,555.3
B1 features,5
B1 features summed,374.4
level features (all),25
level features (all) summed,31.199999999999996
