Feature,Value
words per sent,11.4
LIX,28.06666666666667
# words,114
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.703125
adjectives,0.3
nouns,2.1
verbs,1.5
pronouns,2.2
particles,2.8
punctuation marks,2.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.5
full verbs,0.9
split verbs,0.1
nominative,0.6
accusative,0.5
dative,0.4
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,0.2
dative obj,0.1
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.3
gen+prep obj,0.2
present forms,0.4
past forms,0.2
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.1
passive with agens,0.0
comparative,0.0
superlative,0.1
comp+superlative,0.1
conjunctions,0.1
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,188.0
concessive,21.3
conditional,345.1
consecutive,7.8
final,26.1
interrogative,11.9
modal,74.6
other,382.6
temporal,323.2
A1 features,4
A1 features summed,0.4
A2 features,7
A2 features summed,541.5
B1 features,5
B1 features summed,364.3
level features (all),32
level features (all) summed,17.700000000000006
