Feature,Value
words per sent,20.6
LIX,35.16310679611651
# words,206
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6324786324786325
adjectives,1.9
nouns,1.9
verbs,2.9
pronouns,3.4
particles,7.0
punctuation marks,3.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.8
full verbs,1.8
split verbs,0.3
nominative,0.2
accusative,0.7
dative,1.0
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.8
gen+prep obj,0.0
present forms,1.0
past forms,0.5
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.2
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.4
subjunctions,0.1
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.1
question marks,0.0
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,197.4
concessive,23.6
conditional,356.3
consecutive,7.8
final,27.3
interrogative,12.0
modal,78.7
other,402.6
temporal,336.4
A1 features,6
A1 features summed,1.3000000000000003
A2 features,6
A2 features summed,562.3
B1 features,5
B1 features summed,380.09999999999997
level features (all),31
level features (all) summed,30.900000000000013
