Feature,Value
words per sent,14.4
LIX,31.06666666666667
# words,144
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6455696202531646
adjectives,0.4
nouns,1.9
verbs,2.5
pronouns,3.9
particles,2.9
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.3
full verbs,1.8
split verbs,0.3
nominative,0.4
accusative,1.1
dative,1.0
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,1.1
dative obj,0.5
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.6
gen+prep obj,0.1
present forms,0.5
past forms,0.8
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.0
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.3
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,197.0
concessive,23.5
conditional,355.9
consecutive,7.8
final,27.2
interrogative,12.0
modal,78.3
other,401.3
temporal,336.0
A1 features,6
A1 features summed,1.2000000000000002
A2 features,7
A2 features summed,562.3
B1 features,5
B1 features summed,379.7
level features (all),33
level features (all) summed,26.600000000000012
