Feature,Value
words per sent,29.8
LIX,42.887248322147656
# words,298
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6645161290322581
adjectives,1.3
nouns,2.3
verbs,5.0
pronouns,6.9
particles,9.7
punctuation marks,4.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.7
aux verbs,1.4
full verbs,2.8
split verbs,0.7
nominative,0.8
accusative,1.6
dative,0.8
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.5
dative obj,0.6
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,2.1
gen+prep obj,0.1
present forms,2.1
past forms,0.0
perfect forms,0.3
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.3
all futur forms,0.1
subj 1 forms,0.1
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.9
subjunctions,0.3
relative clauses,0.3
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.5
question words,0.3
question marks,0.1
subj/pred inversions,1.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,187.5
concessive,21.3
conditional,344.7
consecutive,7.8
final,26.1
interrogative,11.9
modal,74.4
other,381.6
temporal,323.0
A1 features,8
A1 features summed,3.6
A2 features,5
A2 features summed,540.6999999999999
B1 features,5
B1 features summed,364.3
level features (all),33
level features (all) summed,49.89999999999999
