Feature,Value
words per sent,21.1
LIX,37.68767772511848
# words,211
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5877862595419847
adjectives,1.5
nouns,2.2
verbs,4.4
pronouns,4.2
particles,4.4
punctuation marks,4.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,1.3
full verbs,2.7
split verbs,0.1
nominative,1.2
accusative,1.2
dative,0.6
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.1
dative obj,0.3
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.4
gen+prep obj,0.3
present forms,1.1
past forms,0.6
perfect forms,0.6
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.7
all futur forms,0.0
subj 1 forms,0.2
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.3
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.7
subjunctions,0.1
relative clauses,0.1
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.4
question words,0.1
question marks,0.1
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,198.1
concessive,23.6
conditional,356.8
consecutive,7.8
final,27.5
interrogative,12.0
modal,79.2
other,404.2
temporal,338.1
A1 features,7
A1 features summed,2.4
A2 features,8
A2 features summed,564.1
B1 features,5
B1 features summed,381.6
level features (all),39
level features (all) summed,38.400000000000034
