Feature,Value
words per sent,22.8
LIX,38.589473684210525
# words,228
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7563025210084033
adjectives,2.4
nouns,3.0
verbs,3.1
pronouns,5.0
particles,6.0
punctuation marks,3.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,1.3
full verbs,1.4
split verbs,0.0
nominative,0.6
accusative,1.2
dative,1.8
genitive,0.1
gen modifiers,0.1
prep with gen,0.0
all genitives,0.1
accusative obj,1.2
dative obj,0.1
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.3
gen+prep obj,0.3
present forms,1.8
past forms,0.0
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.2
superlative,0.1
comp+superlative,0.3
conjunctions,0.4
subjunctions,0.1
relative clauses,0.2
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,180.5
concessive,19.8
conditional,328.9
consecutive,7.8
final,25.6
interrogative,11.4
modal,71.9
other,363.0
temporal,305.3
A1 features,3
A1 features summed,1.0
A2 features,7
A2 features summed,517.9
B1 features,5
B1 features summed,344.5
level features (all),34
level features (all) summed,37.40000000000001
