Feature,Value
words per sent,22.3
LIX,40.2372197309417
# words,223
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.7317073170731707
adjectives,1.5
nouns,3.5
verbs,3.4
pronouns,5.0
particles,6.0
punctuation marks,2.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.7
full verbs,2.3
split verbs,0.0
nominative,0.8
accusative,1.2
dative,1.6
genitive,0.1
gen modifiers,0.0
prep with gen,0.1
all genitives,0.1
accusative obj,1.0
dative obj,0.3
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.3
gen+prep obj,0.2
present forms,0.7
past forms,1.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.2
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.4
question words,0.2
question marks,0.0
subj/pred inversions,0.7
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,180.1
concessive,19.8
conditional,326.9
consecutive,7.8
final,25.6
interrogative,11.3
modal,71.7
other,362.0
temporal,303.4
A1 features,4
A1 features summed,1.1
A2 features,6
A2 features summed,516.3
B1 features,5
B1 features summed,342.4
level features (all),30
level features (all) summed,36.30000000000001
