Feature,Value
words per sent,24.6
LIX,43.70569105691057
# words,246
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.688
adjectives,1.4
nouns,3.5
verbs,3.6
pronouns,6.5
particles,5.9
punctuation marks,3.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,1.0
full verbs,2.3
split verbs,0.2
nominative,0.8
accusative,1.6
dative,1.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.2
dative obj,0.4
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,1.6
gen+prep obj,0.2
present forms,0.5
past forms,0.9
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.1
subj 2 forms,0.0
subj 2 aux forms,0.1
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.3
subjunctions,0.3
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.2
question words,0.1
question marks,0.1
subj/pred inversions,1.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,181.6
concessive,20.2
conditional,331.5
consecutive,7.8
final,25.7
interrogative,11.4
modal,71.9
other,364.7
temporal,308.5
A1 features,6
A1 features summed,1.1
A2 features,8
A2 features summed,522.6
B1 features,4
B1 features summed,347.9
level features (all),36
level features (all) summed,40.30000000000002
